순번,시설구분,벤처기업육성촉진지구명,주소,좌표(X),좌표(Y)
1,벤처기업육성촉진지구,영등포 벤처기업육성촉진지구,"서울특별시 영등포구 영등포동, 여의도동, 문래동 영등포동, 여의도동, 문래동",126.9025424,37.51509556
2,벤처기업육성촉진지구,홍릉.월곡 벤처기업육성촉진지구,"서울특별시 동대문구 이문동 전농동 KIST인근(이문동, 전농동)",127.0545325,37.59412266
3,벤처기업육성촉진지구,홍릉.월곡 벤처기업육성촉진지구,"서울특별시 동대문구 이문동 전농동 KIST인근(이문동, 전농동)",127.0579882,37.61142002
4,벤처기업육성촉진지구,홍릉.월곡 벤처기업육성촉진지구,"서울특별시 동대문구 이문동 전농동 KIST인근(이문동, 전농동)",127.0573549,37.58316525
5,벤처기업육성촉진지구,성동 벤처기업육성촉진지구,"서울특별시 성동구 성수동 행당동 도선동 성수동, 행당동, 도선동",127.0489791,37.55195853
6,벤처기업육성촉진지구,대연 벤처기업육성촉진지구,"부산광역시 남구 대연동, 수영구 남천동, 해운대구 우동 대연동, 남천동, 우동",129.1004908,35.13546694
7,벤처기업육성촉진지구,하단 벤처기업육성촉진지구,"부산광역시 사하구 하단동, 사상구 엄궁동 하단동, 엄궁동",128.9664051,35.11774749
8,벤처기업육성촉진지구,동대구.성서 벤처기업육성촉진지구,"대구광역시 동구 신천동, 수성구 범어동, 달서구 호산동 신천동, 범어동, 호산동, 호림동",128.6270924,35.86528748
9,벤처기업육성촉진지구,주안 벤처기업육성촉진지구,"인천광역시 남구 주안동 도화동 주안동, 도화동",126.6755959,37.46239601
10,벤처기업육성촉진지구,금남 벤처기업육성촉진지구 ,"광주광역시 동구 대인동 수기동 호남동 대인동, 수기동, 호남동",126.9222169,35.14651223
11,벤처기업육성촉진지구,첨단 벤처기업육성촉진지구,"광주광역시 북구 오룡동 대촌동 월출동 오룡동, 대촌동, 월출동",126.8526345,35.22381989
12,벤처기업육성촉진지구,첨단 벤처기업육성촉진지구,"광주광역시 북구 오룡동 대촌동 월출동 오룡동, 대촌동, 월출동",126.8396628,35.2066417
13,벤처기업육성촉진지구,대덕 벤처기업육성촉진지구,"대전광역시 유성구 어은동 전민동 신성동 어은동, 전민동, 신성동",127.3755756,36.38962516
14,벤처기업육성촉진지구,울산 벤처기업육성촉진지구,"울산광역시 중구 다운동, 남구 무거동 다운동, 무거동",129.2638809,35.55102943
15,벤처기업육성촉진지구,울산 벤처기업육성촉진지구,"울산광역시 중구 다운동, 남구 무거동 다운동, 무거동",129.2735244,35.55751581
16,벤처기업육성촉진지구,안양 벤처기업육성촉진지구,"경기도 안양시 만안구 안양동, 동안구 비산동 관양동 평촌동 호계동 안양동, 비산동, 관양동, 평촌동, 호계동",126.9569061,37.39352719
17,벤처기업육성촉진지구,안양 벤처기업육성촉진지구,"경기도 안양시 만안구 안양동, 동안구 비산동 관양동 평촌동 호계동 안양동, 비산동, 관양동, 평촌동, 호계동",126.9583554,37.38667994
18,벤처기업육성촉진지구,안양 벤처기업육성촉진지구,"경기도 안양시 만안구 안양동, 동안구 비산동 관양동 평촌동 호계동 안양동, 비산동, 관양동, 평촌동, 호계동",126.9301546,37.40411043
19,벤처기업육성촉진지구,부천 벤처기업육성촉진지구,"경기도 부천시 원미구 상동 약대동, 오정구 삼정동 오정동 상동, 약대동, 삼정동, 오정동",126.75386,37.48986745
20,벤처기업육성촉진지구,안산 벤처기업육성촉진지구,"경기도 안산시 단원구 원곡동 원시동 초지동 원곡동, 원시동, 초지동",126.7881888,37.31347832
21,벤처기업육성촉진지구,성남 벤처기업육성촉진지구,"경기도 성남시 중원구 상대원동, 분당구 야탑동 수내동 정자동 상대원동, 야탑동, 수내동, 정자동 ",127.1586334,37.43170391
22,벤처기업육성촉진지구,성남 벤처기업육성촉진지구,"경기도 성남시 중원구 상대원동, 분당구 야탑동 수내동 정자동 상대원동, 야탑동, 수내동, 정자동 ",127.1537831,37.40251734
23,벤처기업육성촉진지구,성남 벤처기업육성촉진지구,"경기도 성남시 중원구 상대원동, 분당구 야탑동 수내동 정자동 상대원동, 야탑동, 수내동, 정자동 ",127.1268741,37.41235237
24,벤처기업육성촉진지구,수원 벤처기업육성촉진지구,"경기도 수원시 권선구 고색동 서둔동, 수원시 장안구 천천동 고색동, 서둔동, 천천동",126.9847574,37.26746166
25,벤처기업육성촉진지구,수원 벤처기업육성촉진지구,"경기도 수원시 권선구 고색동 서둔동, 수원시 장안구 천천동 고색동, 서둔동, 천천동",126.9774597,37.24115002
26,벤처기업육성촉진지구,수원 벤처기업육성촉진지구,"경기도 수원시 권선구 고색동 서둔동, 수원시 장안구 천천동 고색동, 서둔동, 천천동",126.9750979,37.29441913
27,벤처기업육성촉진지구,춘천 벤처기업육성촉진지구,"강원도 춘천시 후평동 삼천동 후평동, 삼천동",127.7482783,37.88734696
28,벤처기업육성촉진지구,춘천 벤처기업육성촉진지구,"강원도 춘천시 후평동 삼천동 후평동, 삼천동",127.751228,37.87781437
29,벤처기업육성촉진지구,원주 벤처기업육성촉진지구,"강원도 원주시 태장동 흥업면 태장동, 흥업면",127.9456709,37.4051785
30,벤처기업육성촉진지구,원주 벤처기업육성촉진지구,"강원도 원주시 태장동 흥업면 태장동, 흥업면",127.9056251,37.27582006
31,벤처기업육성촉진지구,오창 벤처기업육성촉진지구,"충청북도 청주시 청원구 오창읍, 청주시 흥덕구 옥산면 오창읍, 옥산면",127.4361583,36.71440743
32,벤처기업육성촉진지구,아산 벤처기업육성촉진지구,"충청남도 아산시 탕정면 음봉면, 천안시 서북구 직산읍 탕정면, 음봉면, 직산면",127.1067529,36.85717424
33,벤처기업육성촉진지구,아산 벤처기업육성촉진지구,"충청남도 아산시 탕정면 음봉면, 천안시 서북구 직산읍 탕정면, 음봉면, 직산면",127.1592025,36.88609497
34,벤처기업육성촉진지구,전주 벤처기업육성촉진지구,"전라북도 전주시 덕진구 팔복동 장동 팔복동, 장동",127.0828132,35.85911912
35,벤처기업육성촉진지구,전주 벤처기업육성촉진지구,"전라북도 전주시 덕진구 팔복동 장동 팔복동, 장동",127.0604875,35.85123744
36,벤처기업육성촉진지구,유달 벤처기업육성촉진지구,"전라남도 목포시 석현동, 옥암동 목포시 석현동, 옥암동",126.4183586,34.81581658
37,벤처기업육성촉진지구,유달 벤처기업육성촉진지구,"전라남도 목포시 석현동, 옥암동 목포시 석현동, 옥암동",126.3894566,34.79263535
38,벤처기업육성촉진지구,유달 벤처기업육성촉진지구,"전라남도 목포시 석현동, 옥암동 목포시 석현동, 옥암동",126.3759053,34.81614708
39,벤처기업육성촉진지구,포항 벤처기업육성촉진지구,"경상북도 포항시 남구 지곡동 효자동 지곡동, 효자동",129.3147276,36.02505126
40,벤처기업육성촉진지구,포항 벤처기업육성촉진지구,"경상북도 포항시 남구 지곡동 효자동 지곡동, 효자동",129.3145561,36.03738026
41,벤처기업육성촉진지구,구미 벤처기업육성촉진지구,"경상북도 구미시 공단동 신평동 공단동, 신평동",128.382185,36.1032322
42,벤처기업육성촉진지구,창원 벤처기업육성촉진지구,경상남도 창원시 마산회원구 내서읍 내서읍,128.5149389,35.24968663
43,벤처기업육성촉진지구,창원 벤처기업육성촉진지구,경상남도 창원시 마산회원구 내서읍 내서읍,128.5046255,35.26232455
